Date;USDCOP;BRENT
13/11/2018;3189.65;65.47
9/11/2018;3179.48;70.18
8/11/2018;3144.19;70.65
7/11/2018;3141.39;72.07
6/11/2018;3150.2;72.13
2/11/2018;3183.38;72.83
1/11/2018;3195.06;72.89
31/10/2018;3220.55;75.47
30/10/2018;3209;75.91
29/10/2018;3186.6;77.34
26/10/2018;3181.06;77.62
25/10/2018;3172;76.89
24/10/2018;3165.63;76.17
23/10/2018;3119.27;76.44
22/10/2018;3085.65;79.83
19/10/2018;3077.83;79.78
18/10/2018;3092.35;79.29
17/10/2018;3067.1;80.05
16/10/2018;3052.57;81.41
12/10/2018;3094.93;80.43
11/10/2018;3087.5;80.26
10/10/2018;3094;83.09
9/10/2018;3060.56;85
8/10/2018;3045.63;83.91
5/10/2018;3031.15;84.16
4/10/2018;3034.82;84.58
3/10/2018;3015.88;86.29
2/10/2018;3016.65;84.8
1/10/2018;2996.13;84.98
28/09/2018;2972;82.72
27/09/2018;2990;81.72
26/09/2018;3000;81.34
25/09/2018;3001;81.87
24/09/2018;2992.25;81.2
21/09/2018;3007.66;78.8
20/09/2018;3014.5;78.7
19/09/2018;3019.1;79.4
18/09/2018;3007.1;79.03
